iter	Passed	Remaining
401	14169	21077
402	14209	21049
403	14245	21015
404	14283	20984
405	14323	20955
406	14360	20922
407	14399	20893
408	14438	20862
409	14474	20829
410	14513	20798
411	14548	20764
412	14586	20731
413	14623	20699
414	14661	20667
415	14704	20642
416	14740	20608
417	14781	20580
418	14818	20548
419	14853	20511
420	14890	20479
421	14925	20443
422	14961	20407
423	14995	20371
424	15030	20335
425	15069	20304
426	15107	20273
427	15145	20241
428	15181	20206
429	15218	20173
430	15258	20144
431	15299	20115
432	15338	20085
433	15382	20061
434	15420	20028
435	15456	19993
436	15494	19961
437	15538	19937
438	15576	19905
439	15612	19869
440	15652	19840
441	15691	19809
442	15732	19780
443	15774	19753
444	15817	19727
445	15856	19695
446	15895	19664
447	15929	19628
448	15971	19600
449	16010	19568
450	16049	19536
451	16089	19507
452	16129	19476
453	16169	19446
454	16205	19411
455	16247	19383
456	16288	19353
457	16327	19322
458	16369	19293
459	16408	19262
460	16451	19235
461	16493	19206
462	16535	19177
463	16572	19144
464	16612	19113
465	16653	19083
466	16693	19052
467	16740	19029
468	16776	18994
469	16813	18959
470	16853	18929
471	16894	18898
472	16936	18869
473	16977	18840
474	17021	18812
475	17103	18827
476	17148	18802
477	17187	18770
478	17229	18739
479	17267	18706
480	17310	18678
481	17345	18641
482	17385	18609
483	17426	18578
484	17464	18544
485	17505	18514
486	17547	18484
487	17587	18452
488	17626	18419
489	17670	18391
490	17711	18361
491	17749	18326
492	17791	18296
493	17829	18263
494	17876	18237
495	17926	18215
496	17977	18194
497	18026	18171
498	18067	18139
499	18107	18107
500	18151	18078
501	18189	18044
502	18233	18015
503	18276	17986
504	18322	17959
505	18364	17928
506	18404	17896
507	18441	17860
508	18489	17836
509	18531	17804
510	18574	17775
511	18613	17740
512	18660	17714
513	18704	17685
514	18745	17653
515	18787	17622
516	18833	17594
517	18877	17565
518	18919	17534
519	18961	17502
520	19001	17470
521	19040	17435
522	19082	17404
523	19120	17369
524	19163	17338
525	19204	17306
526	19245	17273
527	19288	17243
528	19329	17210
529	19375	17182
530	19425	17157
531	19466	17124
532	19506	17091
533	19549	17059
534	19592	17029
535	19632	16995
536	19676	16965
537	19717	16931
538	19759	16900
539	19806	16871
540	19843	16836
541	19885	16803
542	19928	16771
543	19972	16741
544	20011	16706
545	20053	16674
546	20094	16641
547	20132	16605
548	20174	16573
549	20215	16539
550	20254	16504
551	20298	16473
552	20338	16439
553	20377	16404
554	20419	16372
555	20458	16337
556	20496	16301
557	20542	16271
558	20583	16238
