iter	MultiClass
130	0.1444964986
131	0.1438351723
132	0.1432574822
133	0.142716659
134	0.1422070475
135	0.1418123825
136	0.1410234299
137	0.1404131108
138	0.1400622135
139	0.1396869926
140	0.1392165039
141	0.1389466574
142	0.1386043974
143	0.138356522
144	0.1379013801
145	0.1377133225
146	0.1371288963
147	0.1367683605
148	0.1365932543
149	0.1363342702
150	0.1359356148
151	0.1357137988
152	0.1352055045
153	0.1348116319
154	0.1344672944
155	0.1340501511
156	0.1336379568
157	0.1334525416
158	0.1328641574
159	0.1326172828
160	0.1319923593
161	0.1317656491
162	0.131045702
163	0.1307841949
164	0.1304954788
165	0.1301005967
166	0.1296751301
167	0.1292393973
168	0.1289839442
169	0.1285105493
170	0.1282040968
171	0.1279127911
172	0.1278125489
173	0.1272747051
174	0.1268805917
175	0.1264289064
176	0.1258797492
177	0.1254741963
178	0.1249549362
179	0.1248499276
180	0.1245357037
181	0.124234736
182	0.123909614
183	0.1236786453
184	0.1233673026
185	0.1229567107
186	0.1225432939
187	0.1223648879
188	0.1222178316
189	0.1217177907
190	0.121475176
191	0.121206548
192	0.1208165319
193	0.1204483168
194	0.1201555275
195	0.1198193601
196	0.1195426295
197	0.1193168114
198	0.1191564096
199	0.1189530039
200	0.1186655907
201	0.1185317014
202	0.1179315751
203	0.1176554154
204	0.11721649
205	0.1168599705
206	0.1165884682
207	0.1163005345
208	0.1158257347
209	0.1155907068
210	0.1154165628
211	0.1152010444
212	0.1151200281
213	0.1149883333
214	0.1147117857
215	0.1142601718
216	0.1138828253
217	0.1136657163
218	0.1134843189
219	0.1132480462
220	0.1129940622
221	0.112816409
222	0.112658122
223	0.112472873
224	0.1122518432
225	0.1119908398
226	0.1118138915
227	0.111559407
228	0.1114820156
229	0.111394409
230	0.1112021644
231	0.111038009
232	0.1109618235
233	0.1108060836
234	0.1106515536
235	0.1105561984
236	0.1105126539
237	0.1104512666
238	0.1101447756
239	0.109997022
240	0.1097741903
241	0.1096056251
242	0.1094043565
243	0.1093577301
244	0.1092177464
245	0.1090545226
246	0.1087319599
247	0.1084859874
248	0.1084491237
249	0.1083269005
250	0.1079337159
251	0.1077957586
252	0.1075910618
253	0.107330941
254	0.1072015185
255	0.1069478525
256	0.1067647812
257	0.1065657996
258	0.1063384436
259	0.1061386962
260	0.1058655348
261	0.1055770501
262	0.1054794611
263	0.1053416309
264	0.1052632863
265	0.105030732
266	0.1049408954
267	0.1048335145
268	0.1046695988
269	0.104511279
270	0.1043110108
271	0.1042244211
272	0.1040776218
273	0.1040211849
274	0.1038853415
275	0.1035791922
276	0.1033503632
277	0.1032447835
278	0.1031519412
279	0.1029961657
280	0.102863756
281	0.1027981104
282	0.1027064346
283	0.1025865983
284	0.1024595233
285	0.1023668186
286	0.1021246432
287	0.1020380966
288	0.1018612786
289	0.1016090261
290	0.1013435123
291	0.1012299961
292	0.1011211819
293	0.1010238758
294	0.1009112902
295	0.1007133158
296	0.1005775234
297	0.100473043
298	0.100298811
299	0.1002064654
300	0.1000737258
301	0.09993400678
302	0.09985143813
303	0.09975779552
304	0.09953924297
305	0.09943808022
306	0.09930115268
307	0.09910218864
308	0.09899773082
309	0.09888287644
310	0.09879579918
311	0.09873062657
312	0.09865901605
313	0.09848045302
314	0.09840618091
315	0.09824788398
316	0.09812237907
317	0.09803650899
318	0.09784271763
319	0.09776489473
320	0.09759774023
321	0.09752147669
322	0.09745966034
323	0.09738344911
324	0.09726450086
325	0.09704554163
326	0.09695537154
327	0.09678746135
328	0.09675363365
329	0.09668942566
330	0.09653228679
331	0.096458716
332	0.09632029737
333	0.09624636241
334	0.09614878735
335	0.09608331627
336	0.09577799969
337	0.09567892155
338	0.09555059838
339	0.09536918755
340	0.09521355028
341	0.09518344945
342	0.09507660944
343	0.09474504102
344	0.09468039617
345	0.0945983148
346	0.09450200173
347	0.0943391356
348	0.09422896733
349	0.09408885471
350	0.09405859265
351	0.09403761246
352	0.09394127194
353	0.0936672671
354	0.09353914381
355	0.0933966748
356	0.09331200951
357	0.09320631157
358	0.09311884928
359	0.09305304455
360	0.09300935323
361	0.09293144873
362	0.09282171433
363	0.09273176627
364	0.09258644352
365	0.09249201189
366	0.09235321697
367	0.09223917285
368	0.09204210843
369	0.09199318992
370	0.0918275531
371	0.09157451082
372	0.09141901487
373	0.09129715425
374	0.0912235291
375	0.09106190757
376	0.09098836498
377	0.09079929639
378	0.09066561859
379	0.09062036044
380	0.09049041796
381	0.09038646676
382	0.09028528089
383	0.09022031003
384	0.0900870032
385	0.09004482003
386	0.08985485846
387	0.08980209614
388	0.08957975072
389	0.08946164978
390	0.08939935383
391	0.08930146388
392	0.08924898076
393	0.08915005048
394	0.08909466923
395	0.08896800723
396	0.08884851757
397	0.08877179941
398	0.08874075916
399	0.08862525198
400	0.08850199761
401	0.08843567395
402	0.08835682934
403	0.08819465795
404	0.08805511427
405	0.08797791168
406	0.08791450626
407	0.08782168721
408	0.08757289741
409	0.08741720041
410	0.08736612238
411	0.08732203419
412	0.08721476944
413	0.08716915416
414	0.08711529618
415	0.08707832111
416	0.08689375638
417	0.0868005646
418	0.08667270684
419	0.08663560341
420	0.08645594403
421	0.08633060709
422	0.08612443735
423	0.08599459517
424	0.08592259649
425	0.08586151308
426	0.08580917425
427	0.0857351947
428	0.08564746088
429	0.08557838857
430	0.08549784527
431	0.08540045809
432	0.08536914782
433	0.08527743228
434	0.08517089304
435	0.08513639305
436	0.08506927148
437	0.0849527735
438	0.08486912988
439	0.08481802004
440	0.08476955265
441	0.08472332592
442	0.08466689434
443	0.08453721047
444	0.08447286902
445	0.08437524142
446	0.08429982991
447	0.08412066617
448	0.08403987615
449	0.08399540261
450	0.08384264813
451	0.08376564515
452	0.08370381394
453	0.08366727054
454	0.08358008174
455	0.08338694274
456	0.08328862692
457	0.0832381795
458	0.08321281777
459	0.08318529089
460	0.08311481528
461	0.08308490537
462	0.08300185653
463	0.08290498402
464	0.08288109331
465	0.08272636636
466	0.0826970219
467	0.0825278632
468	0.08247538506
469	0.0824354339
470	0.0823205989
471	0.08222300273
472	0.08208375637
473	0.08200892892
474	0.08197200638
475	0.08192635286
476	0.0818048713
477	0.08176113024
478	0.08163371316
479	0.08158923874
480	0.08144292689
481	0.08127842894
482	0.08125371238
483	0.08122273489
484	0.08104739649
485	0.08088209562
486	0.08081529819
487	0.08074521585
488	0.08066890825
489	0.0805968344
490	0.08046990891
491	0.08036639983
492	0.08032671119
493	0.08027042339
494	0.08024559938
495	0.08017098053
496	0.080139769
497	0.08001056136
498	0.07998143438
499	0.07991923636
500	0.07988577481
501	0.07971586348
502	0.07969726511
503	0.07963848519
504	0.07959394656
505	0.07952562964
506	0.07945417008
507	0.0793099734
508	0.07920464287
509	0.07915623017
510	0.07910361217
511	0.07897504153
512	0.07895378699
513	0.07890108554
514	0.07886276678
515	0.07881784593
516	0.07876630748
517	0.07868635916
518	0.07865628652
519	0.07856476691
520	0.07847490897
521	0.07837163034
522	0.07818195085
523	0.07808189824
524	0.07805106602
525	0.07798926894
526	0.07792658017
527	0.0778369556
528	0.07775201722
529	0.07760802158
530	0.07751927576
531	0.07749420303
532	0.07739827244
533	0.07728566729
534	0.07720824143
535	0.0771807493
536	0.07713143468
537	0.07710510293
538	0.07700113354
539	0.07687117158
540	0.0768165518
541	0.07666597814
542	0.07662560616
543	0.07653473509
544	0.07646173115
545	0.0763536553
546	0.07628817701
547	0.07625932651
548	0.07621823614
549	0.0761361832
550	0.07609679625
551	0.07603070679
552	0.07593443343
553	0.07591014744
554	0.07578526417
555	0.07573561489
556	0.07570874818
557	0.07565224733
558	0.07561377965
559	0.07554119485
560	0.07546607881
561	0.07541213547
562	0.07534207856
563	0.07529671526
564	0.07521756691
565	0.07518835928
566	0.0750812336
567	0.07505254492
568	0.07498295989
569	0.07488633471
570	0.07480994686
571	0.07476621375
572	0.07474102342
573	0.07460576923
574	0.07456196214
575	0.07453407358
576	0.07449285423
577	0.07443698782
578	0.07439004013
579	0.07431649135
580	0.07426926593
581	0.07420087531
582	0.07407074788
583	0.07401505078
584	0.07396541263
585	0.0739107064
586	0.07377411106
587	0.07369762348
588	0.07360433173
589	0.07356286804
590	0.07353449524
591	0.07348769964
592	0.07346187178
593	0.07339545935
594	0.07327978436
595	0.07322279397
596	0.07317589011
597	0.07314463224
598	0.07312829998
599	0.07309189566
600	0.07303009747
601	0.0729490679
602	0.07291893121
603	0.07286992721
604	0.07279846719
605	0.07273972226
606	0.07265513895
607	0.0726179045
608	0.07257210519
609	0.07254524495
610	0.07251114479
611	0.07245681031
612	0.07231291518
613	0.07229557998
614	0.07218676098
615	0.07215306841
616	0.07203245254
617	0.07195571698
618	0.07192817411
619	0.07184907377
620	0.07179288547
621	0.07172471431
622	0.07167706447
623	0.07162040126
624	0.07158366873
625	0.07155010673
626	0.07148566743
627	0.07145167116
628	0.07140594106
629	0.0713457877
630	0.07128542722
631	0.07116378305
632	0.07113829197
633	0.07107865298
634	0.07101956795
635	0.07099393579
636	0.07088472606
637	0.07080613243
638	0.07077343663
639	0.07073672826
640	0.07070993823
641	0.07068412566
642	0.07065273947
643	0.07062429566
644	0.07060307558
645	0.07054060041
646	0.07050153327
647	0.07043361404
648	0.07036892684
649	0.07032796003
650	0.07026109916
651	0.07023846599
652	0.07019788429
653	0.07011157515
654	0.07006338311
655	0.07001163788
656	0.06996751687
657	0.06992221585
658	0.0698778248
659	0.06984475109
660	0.06980413614
661	0.06970874977
662	0.06964956301
663	0.06962769689
664	0.06956290602
665	0.0695228082
666	0.06947928488
667	0.06944167127
668	0.06938599868
669	0.06934613865
670	0.06932381871
671	0.06926313395
672	0.069244129
673	0.06913701034
674	0.06905205741
675	0.06902194717
676	0.06898851334
677	0.06892154637
678	0.06876630169
679	0.06874095306
680	0.06869754166
681	0.06860623927
682	0.06857177509
683	0.06847379028
684	0.0683997173
685	0.0682804244
686	0.06826333668
687	0.0682263365
688	0.06817827016
689	0.06804374476
690	0.068021905
691	0.06799603923
692	0.06792678351
693	0.06789799723
694	0.06784864201
695	0.06781093445
696	0.06777232843
697	0.06774113836
698	0.06769841791
699	0.06767520255
700	0.06764292639
701	0.06759858909
702	0.06752259255
703	0.06747239367
704	0.06739955029
705	0.06726520469
706	0.06724757484
707	0.06720293009
708	0.06713829344
709	0.06710137629
710	0.06704674848
711	0.06702580353
712	0.06698337338
713	0.06694874189
714	0.06691669576
715	0.06687966073
716	0.0668245118
717	0.06679489172
718	0.06675360165
719	0.06667780784
720	0.06664871029
721	0.06662568309
722	0.06659259793
723	0.06654362612
724	0.06651060285
725	0.06643219532
726	0.06637859701
727	0.0663314971
728	0.06627947055
729	0.06623120858
730	0.06620907366
731	0.06618274059
732	0.06615751136
733	0.06612656533
734	0.06603949723
735	0.06596784856
736	0.06594618957
737	0.06588083745
738	0.06582638698
739	0.06577546118
740	0.06574466288
741	0.06572529621
742	0.06562975908
743	0.06557551457
744	0.06552195041
745	0.06548207997
746	0.06542086478
747	0.06538828004
748	0.06537652066
749	0.06530649348
750	0.06528032285
751	0.06517465006
752	0.06512662844
753	0.06507955297
754	0.06502765437
755	0.06497775524
756	0.06493513549
757	0.06489088551
758	0.06486307435
759	0.06483310159
760	0.06472101195
761	0.06469397982
762	0.0646816508
763	0.06465492085
764	0.06461993411
765	0.06456947306
766	0.06453985893
767	0.06452085153
768	0.06448720154
769	0.06447212586
770	0.06442520927
771	0.06438215405
772	0.06433747151
773	0.064294656
774	0.06426015107
775	0.06423016733
776	0.06420340157
777	0.06416402504
778	0.06413800329
779	0.06411024929
780	0.06404733898
781	0.06403370754
782	0.06399684712
783	0.06396540194
784	0.06388116143
785	0.06383666582
786	0.06382069663
787	0.06372821736
788	0.06371830904
789	0.0636559655
790	0.06361017816
791	0.06359102924
792	0.06352686816
793	0.0634927877
794	0.06347295373
795	0.06343378254
796	0.06338193853
797	0.06333561865
798	0.06331467211
799	0.0632775075
800	0.06324034272
801	0.06318893448
802	0.06313784763
803	0.06310558735
804	0.06307904538
805	0.06305121696
806	0.06297203432
807	0.06291491449
808	0.06290142725
809	0.06282374055
810	0.06274925789
811	0.06266580384
812	0.0626487001
813	0.06262313213
814	0.06258821443
815	0.06256580809
816	0.06254113914
817	0.06251870015
818	0.06246236513
819	0.0624316617
820	0.06228744864
821	0.06219278231
822	0.06216729118
823	0.06213788273
824	0.06212491263
825	0.06206009106
826	0.06202119351
827	0.06197086017
828	0.06193775784
829	0.061823378
830	0.06180614806
831	0.06177775314
832	0.06169972864
833	0.06167214952
834	0.06164761689
835	0.06160715738
836	0.06156430701
837	0.06152742801
838	0.06147812779
839	0.06142875638
840	0.06138547966
841	0.06129373601
842	0.06126114907
843	0.06122335062
844	0.0612006724
845	0.06118104361
846	0.06115947809
847	0.06110964652
848	0.06107775158
849	0.06106616346
850	0.06103220883
851	0.06097505748
852	0.06095879133
853	0.06091315343
854	0.06086128746
855	0.06082046894
856	0.06075462189
857	0.06070892205
858	0.0606664847
859	0.06062852095
860	0.06058826129
861	0.06055330084
862	0.06053635605
863	0.06048340792
864	0.06043909814
865	0.06042263266
866	0.06035938706
867	0.06032302672
868	0.060298323
869	0.06026806776
870	0.06024584711
871	0.06020300755
872	0.06016480157
873	0.0601492581
874	0.06007155891
875	0.06001461015
876	0.0599878185
877	0.05997102512
878	0.05993956949
879	0.0599266759
880	0.05986807002
881	0.05983328692
882	0.05981225515
883	0.05978623114
884	0.05976712114
885	0.05974076831
886	0.05972634843
887	0.05969943036
888	0.05967294626
889	0.05963474875
890	0.05961231703
891	0.0595831832
892	0.05954964915
893	0.05952765867
894	0.05946350087
895	0.05941409357
896	0.05934210584
897	0.05927110283
898	0.05925522582
899	0.05923213096
900	0.0592127996
901	0.05917385672
902	0.05915339298
903	0.05910314803
904	0.05908229856
905	0.05901925148
906	0.05900311547
907	0.05897954107
908	0.05889749663
909	0.05886263607
910	0.05882427638
911	0.05880772021
912	0.0587385967
913	0.05869499212
914	0.0586839945
915	0.05862955412
916	0.05857104923
917	0.05851644046
918	0.05849418713
919	0.05846002493
920	0.05841637803
921	0.05839979613
922	0.05837940673
923	0.05832375315
924	0.05825936493
925	0.05821563243
926	0.05818998095
927	0.05809560206
928	0.05808007798
929	0.05802283661
930	0.05798738793
931	0.05797182545
932	0.05794370942
933	0.05793136481
934	0.05792103191
935	0.05788613552
936	0.05786981863
937	0.05785007949
938	0.05781290183
939	0.05778606617
940	0.05775204546
941	0.05772872102
942	0.05766011809
943	0.05759148321
944	0.05757063014
945	0.05754482038
946	0.05751482781
947	0.05744756568
948	0.0573780819
949	0.05736589391
950	0.05735372729
951	0.05728102187
952	0.05726830682
953	0.05719912876
954	0.05717568701
955	0.05707941543
956	0.05705341235
957	0.05704607024
958	0.05702541585
959	0.05694892295
960	0.05692322773
961	0.05688784532
962	0.05686111111
963	0.0568360331
964	0.05680908579
965	0.05679534789
966	0.05674764501
967	0.05673181127
968	0.05671556358
969	0.05670114821
970	0.05668140488
971	0.05660409688
972	0.05658807
973	0.05654618617
974	0.05653174952
975	0.05651310149
976	0.05648679814
977	0.05646837965
978	0.05644418499
979	0.0563946473
980	0.056366095
981	0.056312024
982	0.05629126782
983	0.05626958787
984	0.05620124109
985	0.05618281549
986	0.05613936434
987	0.05610607641
988	0.05606131594
989	0.0560203706
990	0.05597177322
991	0.05589549553
992	0.05586432537
993	0.05585214952
994	0.0558316934
995	0.05577964954
996	0.05575535574
997	0.0556872779
998	0.05566085312
999	0.0556095429
